Task lang,rank1 lang,rank2 lang,rank3 lang
tam,epo,kur,kaz
fas,kaz,kur,epo
ita,kaz,epo,bel
kaz,glg,fra,nob
lit,kaz,epo,kur
tha,kaz,kur,epo
fin,kaz,kur,epo
eus,kaz,epo,bel
dan,hrv,kaz,mya
glg,kaz,est,bel
slv,kaz,epo,bel
mon,kaz,kur,epo
nob,kaz,kur,epo
bel,hrv,mya,ben
hun,kaz,kur,epo
bul,kaz,epo,kur
ukr,kaz,epo,kur
rus,kaz,kur,epo
slk,kaz,kur,epo
hrv,kur,bel,est
nld,kaz,epo,bel
ben,epo,kaz,bel
msa,kaz,kur,epo
ces,kaz,bel,kur
swe,kaz,kur,epo
ell,kaz,kur,epo
spa,kaz,bel,kur
tur,kur,kaz,srp
jpn,epo,kur,kaz
kur,hrv,mkd,tur
ron,kaz,epo,bel
kat,kaz,kur,epo
vie,kaz,kur,epo
bos,hrv,kaz,mya
hin,epo,kaz,kur
por,kaz,epo,kur
sqi,kaz,kur,epo
ind,kaz,epo,kur
kor,epo,kur,kaz
heb,kaz,kur,epo
deu,kaz,epo,kur
pol,kaz,epo,kur
epo,mya,hin,ben
mar,epo,kur,kaz
srp,hrv,kaz,mya
mkd,kaz,kur,epo
urd,epo,kaz,srp
hye,kaz,kur,epo
aze,kaz,kur,epo
cmn,kaz,kur,epo
fra,kaz,epo,kur
mya,epo,bel,bos
ara,kaz,kur,epo
est,hrv,kaz,mya
