Task lang,rank1 lang,rank2 lang,rank3 lang
tam,kat,heb,srp
fas,heb,ell,spa
ita,srp,sqi,slk
kaz,heb,ell,rus
lit,srp,sqi,slk
tha,srp,sqi,slk
fin,srp,sqi,slk
eus,srp,sqi,slk
dan,heb,ell,rus
glg,srp,sqi,slk
slv,srp,sqi,slk
mon,heb,ell,rus
nob,rus,spa,ita
bel,heb,ell,rus
hun,srp,sqi,slk
bul,srp,sqi,slk
ukr,srp,sqi,slk
rus,srp,sqi,slk
slk,heb,ell,rus
hrv,srp,sqi,slk
nld,kat,srp,sqi
ben,srp,sqi,slk
msa,heb,ell,rus
ces,srp,sqi,slk
swe,kat,spa,eus
ell,srp,sqi,slk
spa,srp,sqi,slk
tur,srp,sqi,slk
jpn,srp,sqi,slk
kur,heb,ell,rus
ron,srp,sqi,slk
kat,srp,sqi,slk
vie,srp,sqi,slk
bos,heb,ell,rus
hin,ell,rus,pol
por,srp,sqi,slk
sqi,heb,ell,rus
ind,srp,sqi,slk
kor,srp,sqi,slk
heb,srp,sqi,slk
deu,spa,srp,sqi
pol,srp,sqi,slk
epo,heb,ell,rus
mar,heb,srp,sqi
srp,heb,ell,rus
mkd,srp,sqi,slk
urd,srp,sqi,slk
hye,srp,sqi,slk
aze,heb,ell,rus
cmn,ell,ces,lit
fra,srp,sqi,slk
mya,srp,sqi,slk
ara,ell,kat,hrv
est,heb,ell,rus
