Task lang,rank1 lang,rank2 lang,rank3 lang
tam,kaz,srp,ron
fas,kaz,srp,ron
ita,kaz,srp,lit
kaz,tur,srp,spa
lit,kaz,srp,urd
tha,srp,kaz,hye
fin,srp,kaz,urd
eus,kaz,srp,urd
dan,kaz,srp,ron
glg,kaz,srp,ron
slv,kaz,srp,ron
mon,kaz,srp,ron
nob,kaz,srp,urd
bel,kaz,srp,ron
hun,kaz,srp,urd
bul,kaz,srp,urd
ukr,kaz,srp,ron
rus,kaz,srp,urd
slk,kaz,srp,ron
hrv,kaz,srp,ron
nld,kaz,srp,lit
ben,kaz,srp,urd
msa,kaz,srp,ron
ces,kaz,srp,ron
swe,kaz,srp,ron
ell,kaz,srp,urd
spa,kaz,srp,urd
tur,kaz,srp,urd
jpn,kaz,srp,urd
kur,kaz,srp,lit
ron,srp,kaz,urd
kat,kaz,srp,vie
vie,srp,kaz,kat
bos,kaz,srp,ron
hin,kaz,srp,urd
por,kaz,srp,lit
sqi,kaz,srp,ron
ind,srp,kaz,urd
kor,srp,kaz,urd
heb,kaz,srp,lit
deu,srp,kaz,urd
pol,kaz,srp,urd
epo,kaz,srp,ron
mar,kaz,srp,ron
srp,ron,kaz,hye
mkd,kaz,srp,ron
urd,kaz,srp,ron
hye,srp,kaz,urd
aze,kaz,srp,ron
cmn,srp,kaz,urd
fra,kaz,srp,urd
mya,srp,kaz,hye
ara,kaz,srp,lit
est,kaz,srp,ron
