Task lang,rank1 lang,rank2 lang,rank3 lang
tam,tha,vie,hrv
fas,kaz,hrv,kur
ita,mya,kaz,hrv
kaz,glg,ell,spa
lit,kaz,hrv,tha
tha,tam,kaz,mar
fin,kaz,hrv,kur
eus,hrv,kaz,epo
dan,kaz,kur,hrv
glg,kaz,jpn,mya
slv,kaz,hrv,jpn
mon,kaz,hrv,kur
nob,kaz,hrv,kur
bel,kaz,hrv,kur
hun,kaz,hrv,kur
bul,kaz,mya,hrv
ukr,kaz,hrv,mya
rus,kaz,hrv,kur
slk,kaz,hrv,kur
hrv,kur,eus,kor
nld,kaz,hrv,mya
ben,hrv,epo,vie
msa,kaz,hrv,kur
ces,kaz,tha,vie
swe,kaz,mya,hrv
ell,kaz,hrv,mya
spa,kaz,hrv,mya
tur,kur,kaz,hrv
jpn,hrv,glg,epo
kur,hrv,tur,mkd
ron,kaz,mya,hrv
kat,kaz,hrv,kur
vie,tam,kaz,mar
bos,kaz,mya,tha
hin,hrv,epo,kaz
por,kaz,mya,tam
sqi,kaz,hrv,kur
ind,kaz,tam,mar
kor,hrv,epo,glg
heb,kaz,hrv,mya
deu,kaz,tha,epo
pol,kaz,hrv,mya
epo,mya,hin,kor
mar,tha,hrv,vie
srp,kaz,mya,jpn
mkd,kaz,mya,kur
urd,hrv,epo,tha
hye,kaz,hrv,vie
aze,kaz,hrv,kur
cmn,kaz,hrv,kur
fra,kaz,hrv,epo
mya,hrv,epo,glg
ara,kaz,hrv,kur
est,kaz,kur,epo
