Task lang,rank1 lang,rank2 lang,rank3 lang
ara,kaz,kur,bel
aze,kaz,kur,bel
bel,hrv,mya,ben
ben,epo,kaz,bel
bos,hrv,kaz,mya
bul,kaz,epo,kur
ces,kaz,bel,kur
cmn,kaz,kur,epo
dan,hrv,kaz,mya
deu,kaz,epo,kur
ell,kaz,kur,epo
epo,mya,hin,ben
est,hrv,kaz,mya
eus,kaz,epo,bel
fas,kaz,kur,bel
fin,kaz,kur,epo
fra,kaz,epo,kur
glg,kaz,est,bel
heb,kaz,kur,epo
hin,epo,kaz,kur
hrv,kur,bel,est
hun,kaz,kur,epo
hye,kaz,kur,bel
ind,kaz,epo,kur
ita,kaz,epo,bel
jpn,epo,kur,kaz
kat,kaz,kur,epo
kaz,glg,fra,nob
kor,epo,kur,kaz
kur,hrv,mkd,tur
lit,kaz,epo,kur
mar,epo,kur,kaz
mkd,kaz,kur,epo
mon,kaz,kur,bel
msa,kaz,kur,bel
mya,epo,bel,bos
nld,kaz,bel,epo
nob,kaz,kur,epo
pol,kaz,epo,kur
por,kaz,epo,kur
ron,kaz,epo,bel
rus,kaz,kur,epo
slk,kaz,kur,bel
slv,kaz,epo,bel
spa,kaz,bel,kur
sqi,kaz,kur,bel
srp,hrv,kaz,mya
swe,kaz,kur,bel
tam,epo,kur,kaz
tha,kaz,kur,bel
tur,kur,kaz,srp
ukr,kaz,epo,kur
urd,epo,kaz,srp
vie,kaz,kur,bel
