Task lang,rank1 lang,rank2 lang,rank3 lang
ara,kaz,srp,eus
aze,kaz,srp,eus
bel,kaz,srp,eus
ben,kaz,srp,ara
bos,kaz,srp,eus
bul,kaz,srp,aze
ces,kaz,srp,eus
cmn,srp,kaz,aze
dan,kaz,srp,eus
deu,srp,kaz,aze
ell,kaz,srp,ara
epo,kaz,srp,eus
est,kaz,srp,eus
eus,kaz,srp,ara
fas,kaz,srp,eus
fin,srp,kaz,ara
fra,kaz,srp,aze
glg,kaz,srp,eus
heb,kaz,srp,eus
hin,kaz,srp,ara
hrv,kaz,srp,eus
hun,kaz,srp,ara
hye,kaz,srp,ara
ind,srp,kaz,ara
ita,kaz,srp,eus
jpn,kaz,srp,aze
kat,kaz,srp,vie
kaz,ben,bul,ell
kor,srp,kaz,aze
kur,kaz,srp,eus
lit,kaz,srp,ara
mar,kaz,srp,eus
mkd,kaz,srp,eus
mon,kaz,srp,eus
msa,kaz,srp,eus
mya,srp,kaz,hye
nld,kaz,srp,eus
nob,kaz,srp,ara
pol,kaz,srp,aze
por,kaz,srp,eus
ron,kaz,srp,aze
rus,kaz,srp,aze
slk,kaz,srp,eus
slv,kaz,srp,eus
spa,kaz,srp,aze
sqi,kaz,srp,eus
srp,hye,kaz,ron
swe,kaz,srp,eus
tam,kaz,srp,eus
tha,srp,kaz,hye
tur,kaz,srp,aze
ukr,kaz,srp,eus
urd,kaz,srp,eus
vie,srp,kaz,kat
