Task lang,rank1 lang,rank2 lang,rank3 lang
ara,hrv,kaz,kur
aze,hrv,kaz,kur
bel,hrv,kaz,kur
ben,hrv,epo,vie
bos,kaz,mya,tha
bul,kaz,mya,hrv
ces,kaz,tha,vie
cmn,hrv,kaz,kur
dan,kaz,kur,hrv
deu,kaz,tha,epo
ell,kaz,hrv,mya
epo,mya,hin,kor
est,kaz,kur,epo
eus,hrv,kaz,epo
fas,hrv,kaz,kur
fin,kaz,hrv,kur
fra,kaz,hrv,epo
glg,kaz,jpn,mya
heb,kaz,hrv,mya
hin,hrv,epo,kaz
hrv,kur,eus,kor
hun,hrv,kaz,kur
hye,hrv,kaz,vie
ind,kaz,tam,mar
ita,mya,hrv,kaz
jpn,hrv,glg,epo
kat,hrv,kaz,kur
kaz,glg,ell,spa
kor,hrv,epo,glg
kur,hrv,tur,mkd
lit,hrv,kaz,tha
mar,tha,hrv,vie
mkd,kaz,mya,kur
mon,hrv,kaz,kur
msa,hrv,kaz,kur
mya,hrv,epo,glg
nld,hrv,kaz,mya
nob,kaz,hrv,kur
pol,hrv,kaz,mya
por,kaz,mya,tam
ron,kaz,mya,hrv
rus,kaz,hrv,kur
slk,hrv,kaz,kur
slv,kaz,hrv,jpn
spa,kaz,hrv,mya
sqi,hrv,kaz,kur
srp,kaz,mya,jpn
swe,kaz,mya,hrv
tam,tha,vie,hrv
tha,tam,kaz,mar
tur,kur,hrv,kaz
ukr,kaz,hrv,mya
urd,hrv,epo,tha
vie,tam,kaz,mar
