Task lang,rank1 lang,rank2 lang,rank3 lang
ara,ara,heb,rus
aze,ara,heb,rus
bel,ara,heb,rus
ben,ara,heb,rus
bos,ara,heb,rus
bul,ara,heb,rus
ces,ara,heb,rus
cmn,ara,heb,rus
dan,ara,heb,rus
deu,ara,heb,rus
ell,ara,heb,rus
epo,ara,heb,rus
est,ara,heb,rus
eus,ara,heb,rus
fas,ara,heb,rus
fin,ara,heb,rus
fra,ara,heb,rus
glg,ara,heb,rus
heb,ara,heb,rus
hin,ara,heb,rus
hrv,ara,heb,rus
hun,ara,heb,rus
hye,ara,heb,rus
ind,ara,heb,rus
ita,ara,heb,rus
jpn,ara,heb,rus
kat,ara,heb,rus
kaz,ara,heb,rus
kor,ara,heb,rus
kur,ara,heb,rus
lit,ara,heb,rus
mar,ara,heb,rus
mkd,ara,heb,rus
mon,ara,heb,rus
msa,ara,heb,rus
mya,ara,heb,rus
nld,ara,heb,rus
nob,ara,heb,rus
pol,ara,heb,rus
por,ara,heb,rus
ron,ara,heb,rus
rus,ara,heb,rus
slk,ara,heb,rus
slv,ara,heb,rus
spa,ara,heb,rus
sqi,ara,heb,rus
srp,ara,heb,rus
swe,ara,heb,rus
tam,ara,heb,rus
tha,ara,heb,rus
tur,ara,heb,rus
ukr,ara,heb,rus
urd,ara,heb,rus
vie,ara,heb,rus
